,class_number,is_rong,is_new,is_active,online_dur,cust_age,sex,offer_type,month_charge,arpu,avg_flow,month_flow,flow_trend,trmnl_kind,thrmonth_avgarpu,arpu_trend,trmnl_month,is_contract,agr_exp_date,callll_dur,calling_dur,called_dur,roamcall_dur,call_dur_avg,calling_dur_avg,called_dur_avg,roamcall_dur_avg,thrmon_call_trend,thrmon_calling_trend,thrmon_called_trend,thrmon_roamcall_trend,calling_flow,is_zeroflow,is_highflow,is_flow_over,flow_rate,predict,target,prob
5,0,2,0,1,53,54,1,0,13696,10710,811.4800116,2434.440035,3.0,2,5432.666667,1.971407535,531,0,-20,5355.9,385.2,482.7,4647.4,5360.9,387.2,0.0,0.0,0.999067321,0.994834711,0.0,0.0,0.071920686,0,1,1,4.057578125,1,1,[0.00378815 0.99621185]
726,0,2,0,1,45,49,1,0,22358,5163,9.558117549,28.67435265,3.0,2,4829.666667,1.069017876,349,0,4,1034.2,9.2,21.0,1031.2,1137.7,67.7,66.0,1131.7,0.909026984,0.135893648,0.318181818,0.911195547,0.008895765,0,0,0,0.028027534,0,0,[0.95170631 0.04829369]
351,0,0,0,1,56,49,0,0,20305,15937,243.53599739999999,730.6079922,3.0,2,8912.333333,1.788196133,263,0,23800,4184.3,117.6,41.7,151.3,4257.3,140.1,92.2,218.3,0.982852982,0.8394004279999999,0.45227765700000006,0.693082913,0.028105058999999998,0,1,1,3.653237305,0,0,[9.99753152e-01 2.46847604e-04]
453,0,0,0,1,28,40,1,0,3367,8796,185.3734595,556.1203785,3.0,2,4108.0,2.1411879259999997,90,0,23800,5431.1,308.1,38.0,0.0,5638.5,384.5,167.0,0.0,0.963217168,0.80130039,0.22754491,0.0,0.056728839,0,1,1,27.8090332,0,0,[9.99128432e-01 8.71568187e-04]
608,0,2,0,1,50,47,1,0,47926,16479,182.88343909999998,536.5884304,2.934046041,2,8067.666667,2.042598025,215,0,23800,9945.0,235.0,94.0,9616.0,10659.3,600.3,257.0,9802.0,0.932988095,0.391470931,0.365758755,0.9810242809999999,0.023629965,0,1,0,0.26210260399999996,0,0,[0.90357884 0.09642116]
301,0,0,0,1,37,0,2,0,0,9000,0.482463837,1.435089111,2.97450089,0,9000.0,1.0,2516,0,23800,7815.0,5.0,0.0,0.0,7882.0,12.0,0.0,0.0,0.991499619,0.41666666700000005,0.0,0.0,0.000639795,1,0,0,0.0016992189999999999,0,0,[9.99771252e-01 2.28747623e-04]
787,0,0,0,1,36,32,1,0,7764,21373,407.361036,1222.083108,3.0,2,12244.33333,1.745542156,93,0,23800,10706.2,638.2,515.0,9473.0,11953.1,1302.1,1098.0,0.0,0.895683965,0.49013132600000003,0.46903460799999996,0.0,0.059610319,0,1,1,3.819332886,0,0,[0.99631739 0.00368261]
87,0,0,0,1,64,53,1,0,5468,2900,4.045642535,11.0259676,2.7253934330000003,1,2233.333333,1.298507463,791,0,-39,3530.5,56.5,91.0,0.0,3776.5,147.5,216.0,0.0,0.93486032,0.383050847,0.421296296,0.0,0.016003398999999998,0,0,0,0.09210612,1,1,[0.00767877 0.99232123]
177,0,2,0,1,38,59,1,0,22516,4952,0.0,0.0,0.0,1,4782.666667,1.035405631,413,0,23800,5.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.833333333,0.0,0.0,0.0,0.0,1,0,0,0.0,1,1,[0.00105029 0.99894971]
701,0,0,0,1,39,52,1,0,1679,1140,0.49172592200000004,1.419362068,2.8864902289999996,2,1158.0,0.984455959,303,0,23800,5337.5,49.5,86.0,0.0,5844.4,166.4,475.0,0.0,0.9132674009999999,0.297475962,0.181052632,0.0,0.009274005,1,0,0,0.073388672,0,0,[9.99863703e-01 1.36297370e-04]
649,0,0,0,1,53,50,0,0,1320,2100,10.36945693,6.1206684110000005,0.590259302,2,2033.3333329999998,1.032786885,486,0,23800,4301.0,62.0,62.0,0.0,4650.3,171.3,131.0,0.0,0.924886566,0.36193812,0.473282443,0.0,0.014415252,1,0,0,0.30961914100000004,0,0,[9.99949602e-01 5.03984101e-05]
588,0,2,0,1,46,50,0,0,17379,4579,166.785346,500.19958110000005,2.9990619260000004,2,4301.666667,1.064471135,94,0,4,4963.6,106.7,59.9,4962.6,5297.9,246.6,226.3,5293.9,0.9368995259999999,0.432684509,0.264692886,0.937418538,0.021496493999999998,0,1,0,0.488619804,0,0,[0.99104293 0.00895707]
742,0,2,0,1,36,26,1,0,12894,3569,1.694294294,5.082882881000001,3.0,2,3567.0,1.000560695,323,0,23800,421.9,13.9,1.0,0.0,466.3,50.3,0.0,0.0,0.9047823290000001,0.276341948,0.0,0.0,0.032946196000000004,1,0,0,0.006359863,0,0,[0.99790672 0.00209328]
874,0,0,0,1,26,64,0,0,14495,5971,0.080975215,0.0,0.0,1,2804.666667,2.128951747,453,0,23800,241.1,45.2,195.9,195.6,274.1,61.9,209.2,0.0,0.8796059829999999,0.7302100159999999,0.9364244740000001,0.0,0.187474077,1,0,0,0.0,0,0,[9.99827518e-01 1.72481714e-04]
160,0,2,0,1,40,57,1,0,15664,4592,12.58748245,37.76244736,3.0,1,4405.333333,1.042372881,287,0,23800,4005.5,74.8,318.7,4005.5,4726.9,400.2,714.7,4726.9,0.8473841209999999,0.186906547,0.44592136600000004,0.8473841209999999,0.018674323,0,0,0,0.0362463,1,1,[0.04814422 0.95185578]
